frame,status,source,prior_error,edge_error,green_error,twist_angle_deg,local_det,notes
frame_1024.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_1034.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_1080.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_1090.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_1092.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_1094.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_1100.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_1104.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_1240.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_1398.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_1408.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_1430.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_1440.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_1448.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_1454.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_1462.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_1498.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_1540.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_1542.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_1580.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_1614.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_1616.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
